id;Program;type;length;credits;description;url;keywords;;;;;;;;;;;;;;;;;;;;
36;Energiteknik - ENTECH - utlyses inte 2024;Master;2;120;Vill du lösa framtidens energiutmaningar med ny teknik och entreprenörskap? Masterprogrammet i energiteknik ger dig kunskap om energitekniker och färdigheter i problemlösning, innovation och ledarskap. Programmet är ett samarbete mellan fyra europeiska universitet och du kommer att studera vid flera av dessa under utbildningen. Efter examen kommer du att ha ett brett personligt nätverk och utmärkta karriärmöjligheter inom den europeiska energisektorn.;;Energiteknik;;;;;;;;;;;;;;;;;;;;
37;Evolutionsbiologi - MEME;Master;2;120;Masterprogrammet i evolutionsbiologi (MEME) är ett forskningsinriktat Erasmus Mundus-program. Det innebär studier vid fyra ledande universitet i Europa och Harvard University i USA. Detta garanterar dig en förstklassig utbildning och du kan skräddarsy ditt program efter din karriärplan och integrera områden som evolutionär ekologi, genomik, makroevolution och utvecklingsbiologi.;;Biologi;;;;;;;;;;;;;;;;;;;;
38;Finansiell matematik;Master;2;120;Att förstå och navigera i dagens snabbt föränderliga, globala ekonomiska och finansiella landskap kräver en stark matematisk kompetens. Masterprogrammet i finansiell matematik ger dig goda förutsättningar att göra karriär inom ett område med en växande global brist på högkvalificerade personer. Efter examen kan du arbeta med komplexa finansiella data och komma fram till innovativa lösningar på utmaningar i en rad olika affärssammanhang.;https://www.uu.se/utbildning/program/masterprogram-matematik-finansiell-matematik;Matematik;Finansiell Matematik;Statistik;;;;;;;;;;;;;;;;;;
39;Förnybar elgenerering;Master;2;120;Masterprogrammet i förnybar elgenerering erbjuder dig utbildning i toppmoderna elkraftsystem och förnybar elproduktion. Elnätet i Europa och resten av världen står inför ett stort skifte. Det elektriska transmissionssystemet rymmer en ökande andel förnybara energikällor och det är stor efterfrågan på kvalificerade yrkesverksamma inom energi. Det här programmet hjälper dig att utveckla en attraktiv profil för arbetsmarknaden efter examen.;;Energiteknik;;;;;;;;;;;;;;;;;;;;
40;Fysik  för hållbar energi och komplexa system;Master;2;120;En säker och pålitlig energiförsörjning är avgörande för vårt samhälle och vårt vardagsliv. Behovet på energi ökar, vilket gör utforskningen och användandet av nya energikällor allt viktigare. Programmet täcker ett brett område av energikällor och omvandlingsprocesser, från vind- och vattenkraft till kärnkraft och kärnfusion. Inriktningen fysik för hållbar energi och komplexa system innehåller många av fysikens områden, som till exempel mekanik, elektromagnetism, fluidmekanik och kärnfysik.;https://www.uu.se/utbildning/program/masterprogram-fysik-hallbar-energi;Fysik;Energifysik;;;;;;;;;;;;;;;;;;;
41;Fysik, astronomi och rymdfysik;Master;2;120;Hur fungerar jordens magnetfält? Vad vet vi om andra planeter och exoplaneter? Hur utvecklas stjärnor, hur slutar deras liv? Hur bildades Vintergatan? Vad styr universums utveckling? Specialiseringen i astronomi och rymdfysik inom masterprogrammet i fysik tar upp dessa frågor. Du kommer att få en djup förståelse för olika fysiska fenomen som sträcker sig från rymden bortom jordens atmosfär till gränserna för det observerbara universum.;https://www.uu.se/utbildning/program/masterprogram-fysik-astronomi-och-rymdfysik;Astronomi;Fysik;;;;;;;;;;;;;;;;;;;
42;Fysikalisk kemi;Master;2;120;Vill du lära dig på djupet om viktiga fysikaliska och kemiska processer på molekylnivå och kombinera teori med avancerad experimentell teknik? Inriktningen fysikalisk kemi inom masterprogrammet i kemi ger dig möjlighet att förstå och kontrollera många av de grundläggande processer som är viktiga för övergången till ett hållbart samhälle. Efter examen kommer du att vara väl förberedd för att bedriva forskning och utveckling inom både akademin och industrin.;https://www.uu.se/utbildning/program/masterprogram-kemi-fysikalisk-kemi;Fysikalisk Kemi;Fysik;Kemi;;;;;;;;;;;;;;;;;;
43;Geofysik;Master;2;120;Hur fungerar jorden och hur tar vi reda på de processer som formar vår planet? Inom geofysiken använder vi verktyg och metoder från fysiken när vi studerar jorden. Vid geofysikinriktningen kombinerar du fysikkunskaper med resultat från fältmätningar, laboratorieexperiment och datormodellering för att fördjupa kunskapen om planeten jorden.;https://www.uu.se/utbildning/program/masterprogram-fysik-geofysik;Fysik;Geofysik;;;;;;;;;;;;;;;;;;;
44;Hållbar destinationsutveckling (120hp)- utlyses inte 2024;Master;2;120;Vill du lösa framtidens energiutmaningar med ny teknik och entreprenörskap? Masterprogrammet i energiteknik ger dig kunskap om energitekniker och färdigheter i problemlösning, innovation och ledarskap. Programmet är ett samarbete mellan fyra europeiska universitet och du kommer att studera vid flera av dessa under utbildningen. Efter examen kommer du att ha ett brett personligt nätverk och utmärkta karriärmöjligheter inom den europeiska energisektorn.;;Hållbar Utveckling;;;;;;;;;;;;;;;;;;;;
45;Hållbar och innovativ hantering av naturresurser - SINReM;Master;2;120;Vill du vara delaktig i den gröna omställningen för hållbar prospektering och utvinning av mineralresurser? Inom masterprogrammet i hållbar och innovativ hantering av naturresurser - SINReM kan du studera, forska och starta eget företag. Du får möjlighet att skapa hållbara förändringar för jordens resurser tillsammans med aktuella initiativ inom industrin.;;Hållbar Utveckling;Materialvetenskap;;;;;;;;;;;;;;;;;;;
46;Hållbar utveckling;Master;2;120;Vill du få de kunskaper och färdigheter som krävs för att hantera komplexa utmaningar för en hållbar utveckling? Är du intresserad av att studera tillsammans med studenter från en mängd olika länder och bakgrunder? Strävar du efter att vara en del av och bidra till en hållbar framtid? Masterprogrammet i hållbar utveckling bygger på tre pelare - tvärvetenskap, systemtänkande och framtidsorientering, som genomsyrar alla våra kurser.;;Hållbar Utveckling;;;;;;;;;;;;;;;;;;;;
47;Inbyggda system;Master;2;120;Vill du lära dig att konstruera och analysera inbyggda system samt säkerställa deras korrekta funktion? Då är Masterprogrammet i inbyggda system rätt för dig. Programmet ger dig en djupgående utbildning inom data- och systemvetenskap för inbyggda system och betonar design, implementering och analys av programvara. Du får också färdigheter i att skriva programvara i olika utvecklingsmiljöer och programmeringsparadigm.;;Datavetenskap;Systemvetenskap;;;;;;;;;;;;;;;;;;;
48;Industriell analys;Master;2;120;Vill du utveckla nästa generations digitala och hållbara industriella system baserat på unik expertis inom både industriell teknik och datavetenskap? Masterprogrammet i industriell analys är unikt i sitt slag och kombinerar ämnen som systemanalys, dataanalys, AI och simulering. Som student vid programmet studerar du inom ett högaktuellt område där kompetensbehoven växer mycket snabbt.;;Dataanalys;Industriell Teknik;;;;;;;;;;;;;;;;;;;
49;Industriell ledning och innovation;Master;2;120;Vill du ha en karriär som kretsar kring att leda innovativa processer? Uppsala universitet erbjuder dig en bas för att driva innovationsarbete inom teknikintensiva företag inom olika branscher. Oavsett om du startar ett eget företag eller arbetar för ett etablerat företag, ger masterprogrammet i industriell ledning och innovation en djup förståelse samt en rad olika verktyg för att hantera komplexa innovationsprocesser.;;Industriell Teknik;;;;;;;;;;;;;;;;;;;;
